UUID,日付,Nの日,都道府県,店舗名,機種名,台番号,末尾,G数,差枚,BB,RB,BB確率,RB確率,合成確率,x_value,y_value
8f826c16-6386-49ac-b6b0-234663c19ebb,2022/12/09 00:00:00,9,東京都,マルハン新宿東宝ビル店,アイムジャグラーEX-TP,917,7,2992.0,-800,8.0,7.0,1/374.0,1/427.4,1/199.5,"[25200, 27000, 27900, 28800, 30600, 31500, 36000, 36900, 37800, 40500, 42300, 43200, 45000, 45900, 48600, 49500, 50400]","[0, -100, 0, -100, 0, -200, -300, -500, -800, -700, -600, -500, -700, -1000, -900, -1000, -800]"
5d1c6064-84f6-4528-8d5c-0c30db856d17,2022/12/09 00:00:00,9,東京都,マルハン新宿東宝ビル店,アイムジャグラーEX-TP,918,8,6365.0,100,23.0,21.0,1/276.7,1/303.1,1/144.7,"[25200, 27000, 27900, 28800, 30600, 31500, 33300, 34200, 35100, 36000, 36900, 38700, 39600, 42300, 43200, 44100, 45900, 46800, 47700, 48600, 49500, 50400, 51300, 52200, 54900, 55800, 56700, 57600, 58500, 59400, 61200]","[0, -200, 0, -300, 100, 300, 200, 600, 400, 600, 800, 700, 900, 1100, 800, 1100, 900, 800, 700, 900, 700, 500, 800, 900, 700, 500, 400, 100, 500, 200, 100]"
cd479b64-6a38-4a35-ac7b-eb2859bd1320,2022/12/09 00:00:00,9,東京都,マルハン新宿東宝ビル店,アイムジャグラーEX-TP,919,9,8552.0,-1300,25.0,30.0,1/342.1,1/285.1,1/155.5,"[25200, 26100, 27000, 27900, 28800, 31500, 32400, 33300, 34200, 35100, 36000, 36900, 37800, 38700, 39600, 40500, 41400, 42300, 43200, 45000, 45900, 46800, 47700, 49500, 50400, 51300, 52200, 53100, 54000, 54900, 56700, 57600, 58500, 59400, 61200, 62100, 63000, 63900, 64800, 65700, 66600, 67500, 69300, 70200]","[0, 100, -100, -300, -100, -300, -100, 100, -200, -100, -200, -400, 100, -100, -200, -400, -300, -500, -400, -300, 100, 200, 100, 200, 400, 300, 200, 300, 100, -100, -300, -200, -400, 0, 100, -200, -400, -500, -700, -800, -900, -1000, -1100, -1300]"
71b504c0-410b-4bcf-af2b-9bd0cfa2361d,2022/12/09 00:00:00,9,東京都,マルハン新宿東宝ビル店,アイムジャグラーEX-TP,920,0,5093.0,1800,26.0,13.0,1/195.9,1/391.8,1/130.6,"[25200, 29700, 30600, 31500, 32400, 34200, 35100, 36000, 36900, 37800, 38700, 39600, 40500, 42300, 43200, 44100, 45000, 45900, 46800, 47700, 48600, 49500, 50400, 51300, 52200, 55800, 56700, 57600, 59400, 62100, 63000]","[0, 700, 900, 800, 900, 800, 500, 600, 800, 1000, 800, 700, 600, 500, 400, 200, 100, 400, 200, 300, 600, 700, 900, 800, 700, 1100, 1200, 1400, 1600, 2000, 1800]"
a55570d1-3c0b-4d91-9183-7ca5af16b93e,2022/12/09 00:00:00,9,東京都,マルハン新宿東宝ビル店,アイムジャグラーEX-TP,921,1,6930.0,1600,31.0,23.0,1/223.5,1/301.3,1/128.3,"[25200, 26100, 27000, 27900, 28800, 30600, 31500, 32400, 33300, 35100, 36000, 36900, 37800, 39600, 40500, 41400, 42300, 43200, 45000, 46800, 47700, 48600, 51300, 54000, 57600, 58500, 59400, 60300, 61200, 63000, 63900, 64800, 65700]","[0, 100, 300, 0, -100, 200, 300, 200, 100, 0, -100, -200, 0, -200, -400, -100, 0, 200, 400, 500, 800, 1000, 1100, 800, 1200, 1000, 1100, 1500, 1300, 1200, 1400, 1500, 1600]"
5de6ba8b-5d28-43d3-8539-2f4c7bbf9c4e,2022/12/09 00:00:00,9,東京都,マルハン新宿東宝ビル店,アイムジャグラーEX-TP,922,2,7472.0,1000,29.0,28.0,1/257.7,1/266.9,1/131.1,"[25200, 27000, 27900, 28800, 29700, 30600, 31500, 32400, 33300, 34200, 35100, 36000, 36900, 37800, 38700, 39600, 41400, 42300, 43200, 44100, 45000, 45900, 46800, 47700, 48600, 49500, 50400, 51300, 52200, 53100, 54000, 55800, 56700, 57600, 58500, 59400, 61200, 62100, 63000, 63900]","[0, 100, -100, 700, 500, 1000, 800, 700, 600, 800, 700, 500, 700, 1100, 1600, 1300, 1100, 1500, 1600, 1500, 1300, 1400, 1100, 1200, 1300, 1000, 1100, 800, 600, 800, 600, 400, 300, 400, 600, 800, 700, 500, 400, 1000]"
eeef9c1e-0363-4560-8e53-1083963ebe54,2022/12/09 00:00:00,9,東京都,マルハン新宿東宝ビル店,アイムジャグラーEX-TP,923,3,8499.0,1500,35.0,35.0,1/242.8,1/242.8,1/121.4,"[25200, 27000, 28800, 29700, 30600, 31500, 32400, 33300, 35100, 36000, 36900, 37800, 38700, 39600, 40500, 42300, 43200, 45000, 45900, 46800, 47700, 48600, 49500, 50400, 52200, 54000, 54900, 55800, 56700, 57600, 58500, 59400, 60300, 61200, 62100, 63000, 63900, 64800, 65700, 66600]","[0, 300, 700, 600, 500, 300, 100, -100, -200, -400, -700, -1000, -1100, -700, -600, -400, 0, -300, 100, -200, 200, -100, 100, 500, 400, 300, 100, 500, 300, 200, 0, 400, 700, 900, 1100, 1300, 1200, 1600, 1800, 1500]"
aa2e1906-7281-40f0-a010-e93084fb3509,2022/12/09 00:00:00,9,東京都,マルハン新宿東宝ビル店,アイムジャグラーEX-TP,924,4,5197.0,1800,23.0,23.0,1/226.0,1/226.0,1/113.0,"[25200, 27000, 27900, 30600, 31500, 32400, 35100, 36000, 36900, 37800, 38700, 40500, 41400, 42300, 43200, 44100, 45900, 47700, 49500, 50400, 51300, 52200, 53100, 54000, 54900, 55800, 56700, 57600]","[0, -100, -200, 0, -100, 0, 100, 600, 800, 900, 700, 600, 1100, 1200, 1500, 1600, 1500, 1600, 1800, 1700, 1600, 1500, 1400, 1800, 1500, 1900, 2000, 1800]"
3a9d546e-ca59-4838-8c4f-d3f6bde4fbb6,2022/12/09 00:00:00,9,東京都,マルハン新宿東宝ビル店,アイムジャグラーEX-TP,925,5,7430.0,1500,29.0,32.0,1/256.2,1/232.2,1/121.8,"[25200, 26100, 27000, 27900, 28800, 30600, 31500, 32400, 33300, 34200, 35100, 36000, 36900, 37800, 38700, 39600, 40500, 41400, 42300, 43200, 44100, 45000, 45900, 46800, 47700, 48600, 49500, 50400, 53100, 54000, 55800, 56700, 57600, 58500, 59400, 60300, 61200, 63000, 63900, 64800, 65700, 66600, 67500, 68400, 69300]","[0, 400, 600, 700, 600, 500, 400, 300, 400, 100, 0, -100, 0, -100, -300, 0, -100, -200, 100, 400, 700, 1300, 1500, 1300, 1400, 1300, 1200, 1600, 1800, 1900, 1800, 2100, 2500, 2300, 2200, 2300, 2000, 2100, 1800, 1600, 1400, 1600, 1500, 1300, 1500]"
8fca5dd1-1e82-4151-aaee-8f4d45700623,2022/12/09 00:00:00,9,東京都,マルハン新宿東宝ビル店,アイムジャグラーEX-TP,926,6,8370.0,2900,36.0,34.0,1/232.5,1/246.2,1/119.6,"[25200, 27000, 27900, 28800, 30600, 31500, 32400, 33300, 34200, 36000, 36900, 37800, 38700, 39600, 40500, 41400, 42300, 43200, 44100, 45000, 45900, 46800, 47700, 48600, 49500, 50400, 51300, 52200, 53100, 54000, 54900, 55800, 56700, 57600, 58500, 60300, 61200, 62100, 63000, 63900, 65700, 67500, 68400, 69300]","[0, 400, 500, 300, 500, 900, 700, 500, 1100, 1200, 1300, 1100, 1300, 1100, 1700, 2100, 1800, 1600, 1900, 2000, 1900, 2000, 2200, 2000, 1800, 1600, 2200, 2100, 1900, 2200, 2000, 2300, 2000, 1900, 2400, 2500, 2400, 2200, 2500, 2400, 2500, 2900, 2700, 2900]"
