機種名,thumbnail_image_url,sub_image_url,メーカー名,機械割,導入開始日,機種概要
スマスロキン肉マン～7人の悪魔超人編～,https://p-town.dmm.com/upload/machines/4378/image.jpg?t=1684230128,https://p-town.dmm.com/upload/machines/4378/image.jpg?t=1684230128,セブンリーグ（メーカー公式サイト）  セブンリーグの掲載機種一覧,97.9% 〜 114.9%,2023/08上旬予定,人気の高い「7人の悪魔超人編」をモチーフにしたパチスロ。  ATはつねに純増約6.1枚/Gで、悪魔超人を7人倒すと突入する「魔界ループ」が、出玉増加のカギを握っている。
スーパービンゴネオクラシック-30,https://p-town.dmm.com/upload/machines/4387/image.jpg?t=1686034895,https://p-town.dmm.com/upload/machines/4387/image.jpg?t=1686034895,ベルコ（メーカー公式サイト）  ベルコの掲載機種一覧,98.0% 〜 106.0%,2023/08予定,-
スーパービンゴネオクラシック,https://p-town.dmm.com/upload/machines/4386/image.jpg?t=1685962496,https://p-town.dmm.com/upload/machines/4386/image.jpg?t=1685962496,ベルコ（メーカー公式サイト）  ベルコの掲載機種一覧,98.0% 〜 106.0%,2023/08予定,2002年に登場した大ヒット機『スーパービンゴ』の正当後継機。  おなじみのゲーム性とHooah！が再びホールをビンゴフィーバーを巻き起こす!?
スマスロ戦国BASARAGIGA,https://p-town.dmm.com/upload/machines/4372/image.jpg?t=1683536002,https://p-town.dmm.com/upload/machines/4372/image.jpg?t=1683536002,エンターライズ（メーカー公式サイト）  エンターライズの掲載機種一覧,98.1% 〜 110.0%,2023/08上旬予定,スマスロで『スマスロ 戦国BASARA GIGA』が登場する。  掛け算式上乗せの「倍倍BATTLE」や「戯画RUSH」、チェリーコンボを再現した「粋の至り」といった多数の出玉トリガーが搭載され、4桁枚数上乗せも十分に狙えるポテンシャルを秘めている。
防空少女ラブキューレ2〜極限の共鳴〜,https://p-town.dmm.com/upload/machines/4365/image.jpg?t=1686060905,https://p-town.dmm.com/upload/machines/4365/image.jpg?t=1686060905,コナミアミューズメント（メーカー公式サイト）  コナミアミューズメントの掲載機種一覧,97.9% 〜 108.0%,2023/08上旬予定,スマスロのA＋ART機で、「防空少女ラブキューレ2〜極限の共鳴〜」が登場する。  ボーナス当選時にARTを抽選していて、高確中はART期待度がアップ。ボーナス中の赤7揃いはART確定だ。  ART「絶対空域」はゲーム数＆セット数管理。1Gあたりの純増は約1.1枚で、最低継続ゲーム数は40G（2セット目以降は最低30G）となっている。ART中はおもに次元バトルを抽選し、バトル勝利後に突入する特化ゾーンでゲーム数上乗せやセットストックを獲得する。  BIG当選まで継続する「ソニックモード」や最大90%でARTがループする「裏絶対空域」など、大量出玉獲得に期待できる強力トリガーも搭載されているぞ。
スマスロバイオハザード:ヴェンデッタ,https://p-town.dmm.com/upload/machines/4361/image.jpg?t=1682060980,https://p-town.dmm.com/upload/machines/4361/image.jpg?t=1682060980,サミー（メーカー公式サイト）  サミーの掲載機種一覧,97.8% 〜 112.0%,2023/07下旬予定,上乗せ×ボーナス×ループのかつてない出玉性能で、『スマスロ バイオハザード:ヴェンデッタ』が登場する。  「プレミアムヴェンデッタモード」に突入すれば、期待枚数は約3600枚!? さらに、エンディング後は50%以上で「プレミアムヴェンデッタモード」に再突入する!?
パチスロ戦国†恋姫,https://p-town.dmm.com/upload/machines/4366/image.jpg?t=1685946617,https://p-town.dmm.com/upload/machines/4366/image.jpg?t=1685946617,藤商事（メーカー公式サイト）  藤商事の掲載機種一覧,掲載準備中,2023/07/18予定,通常時はおもにレア役などを契機にボーナス（AT）当選を目指すゲーム性。  ボーナスはBIGとREGの2種類で、REGは約100枚を獲得できる。BIGには技術介入要素「姫くり」が存在し、狙えナビ発生時に逆押しで左リールに3連7を停止させるとパネルが開放。2〜8枚のパネルを開放するとナビ回数を獲得するので、平均獲得枚数がアップする仕組みだ。「姫くり」だと約350枚獲得、BIG当選時の一部で突入する「SUPER姫くり」なら、約450枚と多くなっている。BIG・REGともにボーナスストック抽選も存在し、ボーナス後にPONPONちゃんすに突入すればボーナスストックあり濃厚だ。※コンプリート機能搭載機
パチスロからくりサーカス,https://p-town.dmm.com/upload/machines/4360/image.jpg?t=1682677950,https://p-town.dmm.com/upload/machines/4360/image.jpg?t=1682677950,SANKYO（メーカー公式サイト）  SANKYOの掲載機種一覧,97.5% 〜 114.9%,2023/07上旬予定,レア役やゲーム数消化で突入するCZをクリアしてAT当選を目指すゲーム性。ゲーム数加算の特化ゾーンも存在する。  ATは差枚数管理型で、純増約2.8枚/Gの基本AT「からくりサーカス」と純増約7.6枚/Gの上位AT「超からくりサーカス」が存在。初当り時は基本ATから始まり、レア役やゲーム数消化で突入する「激情ジャッジ」を3回成功させると、「運命の一劇」の権利を獲得。「運命の一劇」はAT終了時に突入し、成功すれば上位AT確定だ。「激情ジャッジ」成功4回目以降は「運命連鎖」を抽選。「運命連鎖」成功時はAT終了を待たずに上位ATへ直行するので、「激情ジャッジ」の成功が大量出玉獲得へのカギとなる。
ゴーゴージャグラー3,https://p-town.dmm.com/upload/machines/4375/image.jpg?t=1684139053,https://p-town.dmm.com/upload/machines/4375/image.jpg?t=1684139053,北電子（メーカー公式サイト）  北電子の掲載機種一覧,97.2% 〜 106.5%,2023/07上旬予定,その名の通りゴーゴージャグラーシリーズの第3弾が登場。シリーズならではの要素に加え、違和感やプレミアム要素などが追加されて、パワーアップしている点に注目だ。
パチスロ蛇喰夢子という女,https://p-town.dmm.com/upload/machines/4374/image.jpg?t=1683711346,https://p-town.dmm.com/upload/machines/4374/image.jpg?t=1683711346,ネット（メーカー公式サイト）  ネットの掲載機種一覧,掲載準備中,2023/07上旬予定,大人気作品「賭ケグルイ」の「蛇喰夢子」が主役のパチスロが登場。2コマ目押しの青・ビタ押しの赤という、筐体の色によって設定と目押し難易度が異なるおなじみの仕様も特徴だ。  通常時は「さぁ」アイコン契機の直撃抽選やレア役契機のCZからATを目指すゲーム性で、CZは「滾るゾーン」と「超新星ゾーン」の2種類が存在する。  AT中にチップを100枚貯めて突入する「スネークイーター」は、目押し成功で上乗せのベース枚数を増やし、2択当て成功で獲得枚数が倍増する特化ゾーン。「スネークイーター」に3回突入すると発生する「×喰バトル」で2択を当てて、上位特化ゾーン「スネークイーターSHINGAN」を掴み取れ！
SナイツYTCC,https://p-town.dmm.com/upload/machines/4383/image.jpg?t=1686674449,,山佐  山佐の掲載機種一覧,掲載準備中,2023/07/03予定,-
SOZ1-AA-30,https://p-town.dmm.com/upload/machines/4382/image.jpg?t=1684773094,,オズ（メーカー公式サイト）  オズの掲載機種一覧,96.49% 〜 107.03%,2023/06/19予定,BIGは約259枚、REGは103枚獲得可能なボーナスタイプで、ボーナス中は1回だけ逆押しで消化すればOKだ。
ウルトラちゃぶ台返し,https://p-town.dmm.com/upload/machines/4341/image.jpg?t=1679564164,https://p-town.dmm.com/upload/machines/4341/image.jpg?t=1679564164,ベルコ（メーカー公式サイト）  ベルコの掲載機種一覧,98.0% 〜 106.0%,2023/06/05(月),通常時は最大111Gの周期抽選でCZに突入して、CZをクリアすればボーナス（AT）に突入。周期はレア役で短縮抽選がおこなわれ、CZは期待度の異なる3種類が存在する。ボーナス終了後は30G＋αの怒気怒気上昇モードに突入。ちゃぶ連モード（天国）突入時は怒気怒気上昇モード（ボーナス後30G＋α）での引き戻しに期待できる。ちゃぶ連モードは全5種類あり、最大継続率は最大約95％と超強力！
パチスロコードギアス反逆のルルーシュ3C.C.&Kallenver.,https://p-town.dmm.com/upload/machines/4342/image.jpg?t=1679030413,https://p-town.dmm.com/upload/machines/4342/image.jpg?t=1679030413,サミー（メーカー公式サイト）  サミーの掲載機種一覧,98.2% 〜 113.1% ※ 完全攻略時,2023/06/05(月),すべてのボーナス終了後にATへ突入する「GAT」タイプで、『パチスロコードギアス反逆のルルーシュ3 C.C.&Kallen ver.』が登場する。  ボーナスの最大獲得枚数は257枚で、JAC IN式のため高速消化できるところもポイントだ。（ハイパー）BIG後は150GのAT、REG（C.C.／KALLENボーナス）後は50GのATへ突入する。今作ではATが50G以上残っている状態でREGを引いた場合、ATの残りゲーム数が引き継がれるので、BIG後すぐにREGを引いた場合の残念感が解消されているぞ。
真天下布武,https://p-town.dmm.com/upload/machines/4328/image.jpg?t=1677230593,https://p-town.dmm.com/upload/machines/4328/image.jpg?t=1677230593,山佐（メーカー公式サイト）  山佐の掲載機種一覧,97.7% 〜 112.2%,2023/06/05(月),通常時は武将対応役を引くことで当選するCZや規定ゲーム数消化から「覚醒」を目指す、おなじみのゲーム性。  「覚醒」は1セット10〜30G継続し、全役で「天下ダッシュ」を抽選する。「天下ダッシュ」は1セット10G or 30G継続するATで、消化中はレア役やボーナスなどで「軍旗」の獲得を抽選。「軍旗」は「覚醒」終了時の「天下バトル」を有利にするためのアイテムとなっていて、「軍旗」の数だけ攻撃のチャンス、「真軍旗」を持っていれば勝利（覚醒継続）確定だ。  覚醒終了後は55G＋前兆までにCZに当選するので、自力引き戻しのチャンス！ 実写で出演している超人気元セクシー女優「上原亜衣」にも注目だ。
ぱちスロにゃんこ大戦争BIGBANG,https://p-town.dmm.com/upload/machines/4369/image.jpg?t=1683859367,https://p-town.dmm.com/upload/machines/4369/image.jpg?t=1683859367,京楽（メーカー公式サイト）  京楽の掲載機種一覧,97.6% 〜 112.5%,2023/06/05(月),京楽スマスロ第1弾は、大人気スマホゲーム「にゃんこ大戦争」とのコラボレーション！  通常時はレア役での直撃やCZを契機にATを目指すゲーム性で、最終的に液晶に赤図柄が揃えばAT突入だ。  ATは純増約2.7枚/Gのゲーム数管理型。開始時に突入する特化ゾーン「究極降臨ガチャ」はキャラによって上乗せ性能が変化し、平均150Gを上乗せする。エンディング後はプレミアムBIGBANG GAME（PBG）をかけたチャレンジが発生。PBGは期待枚数約2500枚と強力なので、エンディング到達がさらなる出玉を呼ぶ仕様となっている。  1/8192で成立するBIGBANG揃いはPBG直行の強力トリガーだ。
Lベルセルク無双,https://p-town.dmm.com/upload/machines/4367/image.jpg?t=1682929270,https://p-town.dmm.com/upload/machines/4367/image.jpg?t=1682929270,EXCITE  EXCITEの掲載機種一覧,97.6% 〜 110.4%,2023/06/05(月),圧倒的な世界観を再現して『Lベルセルク無双』がスマスロで登場。  エンディング到達条件は2200枚獲得と、一般的な6.5号機に比べると緩いだけでなく、エンディング到達時には強力な恩恵を受けることができる特典付きだ。
SLOTメイドインアビス,https://p-town.dmm.com/upload/machines/4355/image.jpg?t=1680599774,https://p-town.dmm.com/upload/machines/4355/image.jpg?t=1680599774,ミズホ（メーカー公式サイト）  ミズホの掲載機種一覧,97.6% 〜 110.0%,2023/06/05(月),独特な世界観とストーリーが魅力の『メイドインアビス』がパチスロになって登場する。
課長熊田工作,https://p-town.dmm.com/upload/machines/4333/image.jpg?t=1677742262,https://p-town.dmm.com/upload/machines/4333/image.jpg?t=1677742262,ネット（メーカー公式サイト）  ネットの掲載機種一覧,97.6% 〜 107.0%,2023/05/22(月),熊酒場シリーズの番外編！  クマリーマンが出世するほどボーナスループ期待度がアップする「出世回胴システム」を搭載。ボーナス後32Gは、「商談ゾーン」でのボーナスループに期待しよう。
ジャベリン,https://p-town.dmm.com/upload/machines/4347/image.jpg?t=1679888468,https://p-town.dmm.com/upload/machines/4347/image.jpg?t=1679888468,JPS（メーカー公式サイト）  JPSの掲載機種一覧,97.4% 〜 109.7%,2023/05/22(月),通常時は滞在モードごとの天井到達や小役など複数のボーナス当選契機があり、リール左の告知ランプが光ればボーナス（AT）確定。  ボーナスはBIG（約340枚獲得）とREG（約80枚獲得）の2種類が存在する。BIGは一般遊技とJACゲームで構成され、一般遊技中は内部状態に応じて0G連（BIG確定）を抽選している。リール右のジャベリンランプが点灯すれば0G連確定だ。  ボーナス後は天国なら99G以内、超天国なら33G以内にボーナスに当選。天国は約55%、超天国は約90%でループするので、大量出玉獲得にも十分に期待できるスペックとなっている。
スロットソードアート・オンライン,https://p-town.dmm.com/upload/machines/4352/image.jpg?t=1681093163,,大都技研  大都技研の掲載機種一覧,97.8% 〜 114.9%,2023/05/15(月),超人気コンテンツとのタイアップ機。  通常時はおもにレア役契機のCZからボーナスを目指すゲーム性で、ボーナス後のボスバトルに勝利すればAT「SAO」に突入する。  「SAO」は純増約2.5枚/Gの差枚数管理型。レア役などでボスバトルのゲーム数獲得やボーナスを抽選していて、最終的に7体目のボスを撃破すれば「ALO」へ移行となる。「ALO」は純増約4.0枚/G、1セット15G＋α継続。約1/4.2で当選するボーナスのループで出玉を増やす仕様で、ボーナス中は「ALO」のゲーム数上乗せが抽選される。
パチスロ炎炎ノ消防隊,https://p-town.dmm.com/upload/machines/4326/image.jpg?t=1675755868,https://p-town.dmm.com/upload/machines/4326/image.jpg?t=1675755868,SANKYO（メーカー公式サイト）  SANKYOの掲載機種一覧,97.3% 〜 108.6%,2023/05/08(月),新たなボーナス抽選システム「十字目変換」を搭載して『パチスロ炎炎ノ消防隊』が登場する。  通常時は十字目とレア役を軸にボーナスを目指し、ボーナス後に突入する伝導者の影でエピソードボーナスを引けば、ボーナス高確率状態の炎炎激闘へ突入。炎炎激闘でボーナスを引けば、再度炎炎激闘へ突入（一旦通常時に戻って潜伏）する流れだ。ボーナスをループさせながら、最上位ボーナス「アドラバースト」を目指せ。
L主役は銭形4,https://p-town.dmm.com/upload/machines/4335/image.jpg?t=1677839505,,オリンピア（メーカー公式サイト）  オリンピアの掲載機種一覧,98.2% 〜 114.1%,2023/05/08(月),HEIWAグループのスマスロ第2弾。通常時は規定ゲーム数（規定ガッツ）を契機にATを目指すゲーム性で、ガッツの獲得特化ゾーンも存在する。余剰したガッツはAT終了後に持ち越しされるところもポイントだ。AT「逮捕RUSH」は純増約2.7枚/Gのゲーム数上乗せタイプ。おもにCZ「デカチャンス」を契機に突入する上乗せ特化ゾーン「BIG GAME」と「30G連」を搭載している。「30G連」では金7揃いで強力な特化ゾーン「超逮捕RUSH」に突入する。
マイフラワー2-30,https://p-town.dmm.com/upload/machines/4329/image.jpg?t=1677649662,,北電子（メーカー公式サイト）  北電子の掲載機種一覧,97.7% 〜 107.5%,2023/05/08(月),6.5号機のATタイプで、通常時はおもに成立役に応じてボーナス（AT）が抽選され、胡蝶蘭ランプが光ればボーナス。ボーナス終了後は32Gのチャンスゾーンへ移行する。多彩な告知パターンや新搭載のマイちゃんランプなど、注目ポイントも盛り沢山だ！
アナザーゴッドハーデス-解き放たれし槍撃ver.-,https://p-town.dmm.com/upload/machines/4327/image.jpg?t=1675756332,,ミズホ（メーカー公式サイト）  ミズホの掲載機種一覧,97.6% 〜 112.1%,2023/04/17(月),6.5号機にハーデスが降臨！  通常時は小役やCZ「ヘルゾーン」でATを目指すおなじみのゲーム性で、確定役や全回転フリーズなども健在。  AT「GOD GAME」は純増約2.9枚/Gのゲーム数管理型となっていて、4種類ある「ジャッジメント」で初期ゲーム数を決定。AT消化中も、小役をはじめさまざまな契機で上乗せを抽選。ゲーム数消化後はストックがあれば再び「ジャッジメント」へ突入する。  AT終了後は必ず引き戻しゾーンの「ヘルグレイヴ」へ突入。引き戻し成功時は約25%でペルセポネ以上の「ジャッジメント」に移行する！
Lゴブリンスレイヤー,https://p-town.dmm.com/upload/machines/4340/image.jpg?t=1678949224,,オレンジ（メーカー公式サイト）  オレンジの掲載機種一覧,97.8% 〜 114.9%,2023/04/17(月),通常時は、おもにCZからAT当選を目指すゲーム性。レア役成立時の抽選はもちろん、小役履歴・スイカの成立回数・規定ゲーム数消化など、多彩な当選契機が存在する。  「ゴブリンスレイヤーRUSH」は純増約2.7枚/G、1セット100G＋α継続のセット数＆自力継続型AT。セット消化中に自力で上げた継続率でバトルをおこない、勝利すれば報酬を獲得して次のセットへ移行する。最大8セット継続で移行する上位AT「ULTIMATE LOOP」は継続率約82%固定となっていて、消化中はセットストックの抽選アリ。金BAR揃いから突入する「PREMIUMゴブリンスレイヤーRUSH」も存在！  ※コンプリート機能搭載機
スマスロ北斗の拳,https://p-town.dmm.com/upload/machines/4301/image.jpg?t=1673329906,,サミー（メーカー公式サイト）  サミーの掲載機種一覧,98.0% 〜 113.0%,2023/04/03(月),サミーのスマスロ第1弾は『スマスロ北斗の拳』。初代の演出やゲーム性が完全再現されているのが最大の特徴で、バトルボーナスを継続させて出玉を増やす仕様となっている。バトルの性能を底上げしてくれるレイ共闘やトキ共闘、継続率94%を誇る無想転生バトルなど、ロング継続に期待できる新要素も追加されているぞ！
