日付,店舗名,総差枚,平均差枚,平均G数,勝率
12/23(土),123+N東雲店,-100400枚,-259枚,3116G,(120/387台)31.0%
12/23(土),ウインベル・イースト・スロット,-12300枚,-53枚,3076G,(85/228台)37.3%
12/23(土),エスパス1300新小岩北口駅前店,93300枚,213枚,5466G,(215/436台)49.3%
12/23(土),エムディー目黒,-1200枚,-8枚,2848G,(54/139台)38.8%
12/23(土),ガイアネクスト三軒茶屋II,-23500枚,-121枚,1204G,(49/193台)25.4%
12/23(土),ガイアネクスト東小金井店,-22200枚,-131枚,1401G,(46/169台)27.2%
12/23(土),ガイア大塚北口店,10200枚,35枚,1288G,(95/286台)33.2%
12/23(土),ガイア大島店,-46100枚,-217枚,2734G,(73/212台)34.4%
12/23(土),ガイア大泉学園店,2300枚,10枚,945G,(59/210台)28.1%
12/23(土),ガイア富士見台南口店,-12700枚,-48枚,1274G,(85/264台)32.2%
12/23(土),ガイア瑞江店,-3100枚,-15枚,1496G,(67/201台)33.3%
12/23(土),ガイア経堂店,-6200枚,-39枚,968G,(40/155台)25.8%
12/23(土),キコーナ平井店,-22100枚,-69枚,2892G,(119/319台)37.3%
12/23(土),キコーナ府中店,127400枚,316枚,4503G,(206/402台)51.2%
12/23(土),キコーナ新宿三丁目店,74200枚,331枚,2522G,(92/224台)41.1%
12/23(土),キコーナ蒲田店,-18100枚,-53枚,3383G,(137/337台)40.7%
12/23(土),グランドホール西高島平店,10500枚,49枚,3352G,(80/210台)38.1%
12/23(土),サイバーパチンコ秋葉原昭和通り口店,-67900枚,-220枚,1444G,(83/308台)26.9%
12/23(土),ジャラン五反田店,45900枚,137枚,6424G,(161/334台)48.2%
12/23(土),フルハウス戸越銀座店,-23400枚,-169枚,3749G,(50/138台)36.2%
12/23(土),メガガイア明大前店,-8900枚,-24枚,1567G,(103/357台)28.9%
12/23(土),四谷タイガー,-21100枚,-352枚,2895G,(21/60台)35.0%
1/3(水),123+N東雲店,-86000枚,-222枚,3037G,(130/387台)33.6%
1/3(水),ウインベル・イースト・スロット,12700枚,55枚,4236G,(93/228台)40.8%
1/3(水),エスパス1300新小岩北口駅前店,19400枚,44枚,5620G,(185/436台)42.4%
1/3(水),エムディー目黒,-31400枚,-225枚,2992G,(43/139台)30.9%
1/3(水),ガイアネクスト三軒茶屋II,-24000枚,-124枚,1405G,(48/193台)24.9%
1/3(水),ガイアネクスト東小金井店,-15300枚,-90枚,1095G,(51/169台)30.2%
1/3(水),ガイア大島店,-32100枚,-151枚,2747G,(64/212台)30.2%
1/3(水),ガイア大泉学園店,-15300枚,-72枚,873G,(48/210台)22.9%
1/3(水),ガイア富士見台南口店,-25000枚,-94枚,1373G,(79/264台)29.9%
1/3(水),ガイア瑞江店,-22000枚,-109枚,1506G,(57/201台)28.4%
1/3(水),ガイア経堂店,-7000枚,-45枚,1066G,(39/155台)25.2%
1/3(水),キコーナ平井店,-29900枚,-93枚,2885G,(124/319台)38.9%
1/3(水),キコーナ府中店,33300枚,82枚,3986G,(157/402台)39.1%
1/3(水),キコーナ新宿三丁目店,-11200枚,-50枚,1912G,(68/224台)30.4%
1/3(水),キコーナ蒲田店,10500枚,31枚,2966G,(136/337台)40.4%
1/3(水),グランドホール西高島平店,-56200枚,-267枚,3860G,(76/210台)36.2%
1/3(水),サイバーパチンコ秋葉原昭和通り口店,-21700枚,-70枚,1131G,(83/308台)26.9%
1/3(水),ジャラン五反田店,-59700枚,-178枚,6642G,(143/334台)42.8%
1/3(水),フルハウス戸越銀座店,-16700枚,-120枚,3070G,(54/138台)39.1%
1/3(水),メガガイア明大前店,-18400枚,-51枚,1757G,(101/357台)28.3%
1/3(水),四谷タイガー,2000枚,32枚,3587G,(24/60台)40.0%
1/13(土),123+N東雲店,-30300枚,-78枚,3346G,(141/387台)36.4%
1/13(土),ウインベル・イースト・スロット,-13500枚,-59枚,3423G,(85/228台)37.3%
1/13(土),エスパス1300新小岩北口駅前店,55600枚,127枚,5441G,(209/436台)47.9%
1/13(土),エムディー目黒,-38900枚,-279枚,2916G,(53/139台)38.1%
1/13(土),ガイアネクスト三軒茶屋II,-25800枚,-133枚,1267G,(51/193台)26.4%
1/13(土),ガイアネクスト東小金井店,17700枚,104枚,1348G,(47/169台)27.8%
1/13(土),ガイア大塚北口店,12700枚,48枚,1599G,(90/264台)34.1%
1/13(土),ガイア大島店,-2000枚,-9枚,2606G,(71/212台)33.5%
1/13(土),ガイア大泉学園店,12500枚,65枚,1314G,(65/190台)34.2%
1/13(土),ガイア富士見台南口店,35200枚,133枚,1822G,(92/264台)34.8%
1/13(土),ガイア瑞江店,-10800枚,-53枚,1527G,(65/201台)32.3%
1/13(土),ガイア経堂店,11200枚,72枚,1327G,(49/155台)31.6%
1/13(土),キコーナ平井店,-32700枚,-102枚,2644G,(111/319台)34.8%
1/13(土),キコーナ府中店,47700枚,118枚,3992G,(175/402台)43.5%
1/13(土),キコーナ新宿三丁目店,16300枚,72枚,2666G,(79/224台)35.3%
1/13(土),キコーナ蒲田店,-51600枚,-153枚,3233G,(126/337台)37.4%
1/13(土),グランドホール西高島平店,-53900枚,-256枚,3759G,(75/210台)35.7%
1/13(土),ジャラン五反田店,123300枚,369枚,6889G,(164/334台)49.1%
1/13(土),フルハウス戸越銀座店,7500枚,54枚,2908G,(51/138台)37.0%
1/13(土),メガガイア明大前店,27000枚,75枚,2237G,(127/357台)35.6%
1/13(土),四谷タイガー,-16300枚,-271枚,3244G,(18/60台)30.0%
