店舗kintone,経度,緯度,DM店舗名,住所,shop_id,アナスロ店舗名,都道府県,ホールナビ店舗名
P01378,141.514724,43.0858279,アミューズメントパーラー吉兆,北海道江別市大麻泉町47-37,1378,アミューズメントパーラー吉兆,北海道,アミューズメントパーラー吉兆
P01582,143.207331,42.9613692,音更ひまわり,北海道河東郡音更町木野大通東13丁目1番21,1582,ひまわり音更店,北海道,ひまわり音更店
P01351,141.29282,43.1062867,EBH,北海道札幌市西区発寒15条4-13-1,13160,EBH,北海道,EBH
P02562,140.47701,36.3655223,キコーナ水戸駅南店,茨城県水戸市城南1-4-1,2562,キコーナ水戸駅南店,茨城県,キコーナ水戸駅南店
P04933,139.465162,35.4511029,P’Stown桜ヶ丘,神奈川県大和市福田1-6-10,4933,ピーズ・タウン桜ヶ丘,神奈川県,ピーズ・タウン桜ヶ丘
P04306,140.315826,35.678889,パールショップともえ八街HIZIKAI,千葉県八街市文違字文違野301-114,4306,パールショップともえ八街HIZIKAI,千葉県,パールショップともえ八街HIZIKAI
P05527,137.793881,35.502138,オーギヤ飯田店,長野県飯田市北方1029-5,5527,オーギヤ飯田店,長野県,オーギヤ飯田店
P01375,141.536819,43.0965251,ライジング江別,北海道江別市東野幌町1-4,1375,ライジング江別,北海道,ライジング江別
P01581,143.206331,42.956757,エルシティ,北海道河東郡音更町木野大通東11-1-4,1581,エルシティ,北海道,エルシティ
P12574,139.619113,35.465517,123横浜西口店,神奈川県横浜市西区南幸1-14-10,12985,123横浜西口店,神奈川県,123横浜西口店
P12397,140.480583,36.3390321,マルハン水戸けやき台店,茨城県水戸市元吉田字上千束1944-49,12759,マルハン水戸けやき台店,茨城県,マルハン水戸けやき台店
P00535,139.699822,35.7491794,マルハン大山店,東京都板橋区大山町39番1号マルハン大山ビル,535,マルハン大山店,東京都,マルハン大山店
P07610,135.54246,34.5233656,123北野田店,大阪府堺市東区北野田1077,7610,123北野田店,大阪府,123北野田店
P06214,136.954617,35.0210643,有楽共和店,愛知県大府市一屋町3-27,6214,有楽共和店,愛知県,有楽共和店
P04304,140.300865,35.6520974,パールショップともえ八街店,千葉県八街市八街ほ951-1,4304,パールショップともえ八街店,千葉県,パールショップともえ八街店
P05869,137.411986,34.7585839,タイキ豊橋仲ノ店,愛知県豊橋市仲ノ町128,5869,タイキ豊橋仲ノ店,愛知県,タイキ豊橋仲ノ店
P05522,137.81503,35.5226038,ニューアサヒ上飯田店,長野県飯田市丸山町1-9-10,5522,ニューアサヒ上飯田店,長野県,ニューアサヒ上飯田店
P01592,144.405362,43.0127288,釧路ひまわり,北海道釧路郡釧路町桂木6丁目3番地,1592,ひまわり釧路店,北海道,ひまわり釧路店
P01377,141.543729,43.1008906,マルハン江別店,北海道江別市上江別４３５番地の２,1377,マルハン江別店,北海道,マルハン江別店
P01419,141.92011,43.534156,プラスイーグル砂川店,北海道砂川市空知太東1条4-1-6,1419,プラスイーグル砂川店,北海道,プラスイーグル砂川店
P01107,141.3808,43.0550355,パーラーマンモス’21菊水店,北海道札幌市白石区菊水6条4-2-25,1107,パーラーマンモス'21菊水店,北海道,パーラーマンモス'21菊水店
P02038,140.325053,38.2832873,ベガスベガス北山形店,山形県山形市馬見ヶ崎3-19-22,2038,ベガスベガス北山形店,山形県,ベガスベガス北山形店
P12504,139.595595,35.4095616,アビバ上大岡店,神奈川県横浜市港南区上大岡西1-14-10,12890,アビバ上大岡店,神奈川県,アビバ上大岡店
P06340,136.775949,35.454594,キクヤ長良店,岐阜県岐阜市長良福光98-1,6340,キクヤ長良店,岐阜県,キクヤ長良店
P03970,139.901825,35.6731804,ガイアネクスト南行徳店,千葉県市川市相之川4-6-14,3970,ガイアネクスト南行徳店,千葉県,ガイアネクスト南行徳店
P06211,136.951984,35.005551,有楽森岡店,愛知県大府市森岡町4-62,6211,有楽森岡店,愛知県,有楽森岡店
P12107,139.665733,35.6736547,メッセ笹塚店,東京都渋谷区笹塚1-58-5,12445,メッセ笹塚店,東京都,メッセ笹塚店
P07321,135.516994,34.7393654,ＫＹＯＲＡＫＵ,大阪府大阪市東淀川区淡路4-9-17　新阪急淡路駅前ビル,7321,KYORAKU淡路本店,大阪府,KYORAKU淡路本店
P05337,138.259681,34.8665258,ABC藤枝緑町店,静岡県藤枝市緑町1-1-1,5337,ABC藤枝緑町店,静岡県,ABC藤枝緑町店
